NO,date,hour,company,count
507,2025.01.02,23,Microsoft,"3,038"
508,2025.01.02,23,Amazon,18
509,2025.01.02,23,TSMintel,569
510,2025.01.02,23,Google,"7,021"
511,2025.01.02,23,Broadcom,0
512,2025.01.02,23,Meta,"62,649"
513,2025.01.02,23,SaudiAramco,"13,881"
514,2025.01.03,00,intel,"1,330"
515,2025.01.03,00,tesla,30
516,2025.01.03,00,samsung,582
517,2025.01.03,00,Microsoft,"2,225"
518,2025.01.03,00,Amazon,5
519,2025.01.03,00,TSMintel,689
520,2025.01.03,00,Google,"5,447"
521,2025.01.03,00,Broadcom,0
522,2025.01.03,00,Meta,"38,367"
523,2025.01.03,00,SaudiAramco,"10,931"
524,2025.01.03,01,intel,749
525,2025.01.03,01,tesla,19
526,2025.01.03,01,samsung,344
527,2025.01.03,01,Microsoft,"1,380"
528,2025.01.03,01,Amazon,13
529,2025.01.03,01,TSMintel,334
530,2025.01.03,01,Google,"3,756"
531,2025.01.03,01,Broadcom,0
532,2025.01.03,01,Meta,"21,104"
533,2025.01.03,01,SaudiAramco,"7,350"
534,2025.01.03,02,intel,449
535,2025.01.03,02,tesla,4
536,2025.01.03,02,samsung,362
537,2025.01.03,02,Microsoft,"1,092"
538,2025.01.03,02,Amazon,17
539,2025.01.03,02,TSMintel,187
540,2025.01.03,02,Google,"2,322"
541,2025.01.03,02,Broadcom,0
542,2025.01.03,02,Meta,"16,118"
543,2025.01.03,02,SaudiAramco,"5,198"
544,2025.01.03,03,intel,305
545,2025.01.03,03,tesla,24
546,2025.01.03,03,samsung,305
547,2025.01.03,03,Microsoft,655
548,2025.01.03,03,Amazon,119
549,2025.01.03,03,TSMintel,108
550,2025.01.03,03,Google,"1,488"
551,2025.01.03,03,Broadcom,0
552,2025.01.03,03,Meta,"14,802"
553,2025.01.03,03,SaudiAramco,"4,170"
554,2025.01.03,04,intel,322
555,2025.01.03,04,tesla,38
556,2025.01.03,04,samsung,344
557,2025.01.03,04,Microsoft,802
558,2025.01.03,04,Amazon,25
559,2025.01.03,04,TSMintel,79
560,2025.01.03,04,Google,"1,224"
561,2025.01.03,04,Broadcom,0
562,2025.01.03,04,Meta,"15,885"
563,2025.01.03,04,SaudiAramco,"3,967"
564,2025.01.03,05,intel,252
565,2025.01.03,05,tesla,32
566,2025.01.03,05,samsung,207
567,2025.01.03,05,Microsoft,857
568,2025.01.03,05,Amazon,65
569,2025.01.03,05,TSMintel,109
570,2025.01.03,05,Google,"1,485"
571,2025.01.03,05,Broadcom,0
572,2025.01.03,05,Meta,"19,880"
573,2025.01.03,05,SaudiAramco,"4,949"
574,2025.01.03,06,intel,557
575,2025.01.03,06,tesla,297
576,2025.01.03,06,samsung,769
577,2025.01.03,06,Microsoft,"2,661"
578,2025.01.03,06,Amazon,40
579,2025.01.03,06,TSMintel,350
580,2025.01.03,06,Google,"2,755"
581,2025.01.03,06,Broadcom,0
582,2025.01.03,06,Meta,"31,596"
583,2025.01.03,06,SaudiAramco,"9,172"
584,2025.01.03,07,intel,"1,889"
585,2025.01.03,07,tesla,242
586,2025.01.03,07,samsung,"1,111"
587,2025.01.03,07,Microsoft,"4,902"
588,2025.01.03,07,Amazon,178
589,2025.01.03,07,TSMintel,590
590,2025.01.03,07,Google,"9,132"
591,2025.01.03,07,Broadcom,0
592,2025.01.03,07,Meta,"145,905"
593,2025.01.03,07,SaudiAramco,"49,308"
594,2025.01.03,08,intel,"20,946"
595,2025.01.03,08,tesla,207
596,2025.01.03,08,samsung,"4,926"
597,2025.01.03,08,apple,28
598,2025.01.03,08,Microsoft,"25,097"
599,2025.01.03,08,Amazon,"4,225"
600,2025.01.03,08,TSMintel,"5,528"
601,2025.01.03,08,Google,"35,763"
602,2025.01.03,08,Broadcom,1
603,2025.01.03,08,Meta,"580,104"
604,2025.01.03,08,SaudiAramco,"135,573"
605,2025.01.03,09,intel,"44,864"
606,2025.01.03,09,tesla,358
607,2025.01.03,09,samsung,"64,489"
608,2025.01.03,09,Microsoft,"37,007"
609,2025.01.03,09,Amazon,"48,012"
610,2025.01.03,09,TSMintel,"13,738"
611,2025.01.03,09,Google,"77,457"
612,2025.01.03,09,Broadcom,0
613,2025.01.03,09,Meta,"1,474,697"
614,2025.01.03,09,SaudiAramco,"488,012"
615,2025.01.03,10,intel,"98,339"
616,2025.01.03,10,tesla,544
617,2025.01.03,10,samsung,"99,278"
618,2025.01.03,10,Microsoft,"132,434"
619,2025.01.03,10,Amazon,"32,609"
620,2025.01.03,10,TSMintel,"14,534"
621,2025.01.03,10,Google,"82,317"
622,2025.01.03,10,Broadcom,4
623,2025.01.03,10,Meta,"2,315,570"
624,2025.01.03,10,SaudiAramco,"782,907"
625,2025.01.03,11,intel,"86,612"
626,2025.01.03,11,tesla,317
627,2025.01.03,11,samsung,"90,522"
628,2025.01.03,11,Microsoft,"75,065"
629,2025.01.03,11,Amazon,"33,571"
630,2025.01.03,11,TSMintel,"17,902"
631,2025.01.03,11,Google,"61,253"
632,2025.01.03,11,Broadcom,"2,189"
633,2025.01.03,11,Meta,"1,887,562"
634,2025.01.03,11,SaudiAramco,"651,148"
635,2025.01.03,12,intel,"49,137"
636,2025.01.03,12,tesla,198
637,2025.01.03,12,samsung,"40,481"
638,2025.01.03,12,Microsoft,"59,808"
639,2025.01.03,12,Amazon,"27,055"
640,2025.01.03,12,TSMintel,"16,024"
641,2025.01.03,12,Google,"21,847"
642,2025.01.03,12,Broadcom,"19,113"
643,2025.01.03,12,Meta,"1,330,483"
644,2025.01.03,12,SaudiAramco,"466,064"
645,2025.01.03,13,intel,"79,100"
646,2025.01.03,13,tesla,98
647,2025.01.03,13,samsung,"65,788"
648,2025.01.03,13,Microsoft,"64,585"
649,2025.01.03,13,Amazon,"8,846"
650,2025.01.03,13,TSMintel,"7,854"
651,2025.01.03,13,Google,"42,485"
652,2025.01.03,13,Broadcom,"37,358"
653,2025.01.03,13,Meta,"1,345,536"
654,2025.01.03,13,SaudiAramco,"517,298"
655,2025.01.03,14,intel,"55,627"
656,2025.01.03,14,tesla,476
657,2025.01.03,14,samsung,"90,911"
658,2025.01.03,14,Microsoft,"81,926"
659,2025.01.03,14,Amazon,"16,486"
660,2025.01.03,14,TSMintel,"8,683"
661,2025.01.03,14,Google,"47,376"
662,2025.01.03,14,Broadcom,"58,084"
663,2025.01.03,14,Meta,"1,486,977"
664,2025.01.03,14,SaudiAramco,"433,873"
665,2025.01.03,15,intel,"38,971"
666,2025.01.03,15,tesla,297
667,2025.01.03,15,samsung,"94,297"
668,2025.01.03,15,Microsoft,"61,742"
669,2025.01.03,15,Amazon,"91,665"
670,2025.01.03,15,TSMintel,"6,546"
671,2025.01.03,15,Google,"53,761"
672,2025.01.03,15,Broadcom,"7,372"
673,2025.01.03,15,Meta,"1,214,623"
674,2025.01.03,15,SaudiAramco,"367,064"
675,2025.01.03,16,intel,"61,559"
676,2025.01.03,16,tesla,563
677,2025.01.03,16,samsung,"41,656"
678,2025.01.03,16,Microsoft,"63,883"
679,2025.01.03,16,Amazon,"145,974"
680,2025.01.03,16,TSMintel,"7,085"
681,2025.01.03,16,Google,"55,088"
682,2025.01.03,16,Broadcom,"18,349"
683,2025.01.03,16,Meta,"1,199,053"
684,2025.01.03,16,SaudiAramco,"325,864"
