NO,date,hour,company,input
660,2025.06.03,22,tesla,55
661,2025.06.03,22,samsung,605
662,2025.06.03,22,Microsoft,"1,981"
663,2025.06.03,22,Amazon,123
664,2025.06.03,22,TSMC,707
665,2025.06.03,22,Google,"4,812"
666,2025.06.03,22,Broadcom,0
667,2025.06.03,22,Meta,"72,157"
668,2025.06.03,22,SaudiAramco,"15,755"
669,2025.06.03,23,tesla,15
670,2025.06.03,23,samsung,576
671,2025.06.03,23,Microsoft,"1,229"
672,2025.06.03,23,Amazon,68
673,2025.06.03,23,TSMC,650
674,2025.06.03,23,Google,"4,152"
675,2025.06.03,23,Broadcom,0
676,2025.06.03,23,Meta,"58,255"
677,2025.06.03,23,SaudiAramco,"12,452"
678,2025.06.04,00,tesla,113
679,2025.06.04,00,samsung,426
680,2025.06.04,00,Microsoft,950
681,2025.06.04,00,Amazon,20
682,2025.06.04,00,TSMC,483
683,2025.06.04,00,Google,"3,115"
684,2025.06.04,00,Broadcom,0
685,2025.06.04,00,Meta,"35,792"
